frame_idx,frame_id,timestamp,name,detections,matches,created,ambiguous,provisional,visible,elapsed_seconds
0,0,0.0,frame_000000,9,0,9,0,0,9,0.6503169999923557
1,1,0.03343059431524548,frame_000001,10,9,1,0,0,10,0.517713199951686
2,2,0.06686118863049095,frame_000002,10,10,0,0,0,10,0.5202647000551224
3,3,0.10029178294573643,frame_000003,9,8,1,0,0,9,0.579939000075683
4,4,0.1337223772609819,frame_000004,9,9,0,0,0,9,0.5227743000723422
5,5,0.16715297157622738,frame_000005,9,9,0,0,0,9,0.544069099938497
6,6,0.20058356589147286,frame_000006,11,10,1,0,0,11,0.6139046000316739
7,7,0.23401416020671834,frame_000007,11,11,0,0,0,11,0.5558064000215381
8,8,0.2674447545219638,frame_000008,11,11,0,0,0,11,0.61440840002615
9,9,0.3008753488372093,frame_000009,10,9,1,0,0,10,0.5810806999215856
10,10,0.33430594315245477,frame_000010,11,11,0,0,0,11,0.565785999991931
11,11,0.36773653746770024,frame_000011,11,11,0,0,0,11,0.5922082999022678
12,12,0.4011671317829457,frame_000012,13,13,0,0,0,13,0.6239517999347299
13,13,0.4345977260981912,frame_000013,11,11,0,0,0,11,0.6552463999250904
14,14,0.46802832041343667,frame_000014,10,9,0,1,0,9,0.5411199999507517
15,15,0.5014589147286822,frame_000015,11,11,0,0,0,11,0.5950462999753654
16,16,0.5348895090439276,frame_000016,9,4,0,5,0,4,0.5229004999855533
17,17,0.5683201033591732,frame_000017,8,8,0,0,0,8,0.5797758999979123
18,18,0.6017506976744186,frame_000018,7,7,0,0,0,7,0.4990315999602899
19,19,0.6351812919896641,frame_000019,7,7,0,0,0,7,0.5009346000151709
