frame_idx,frame_id,timestamp,name,detections,matches,created,ambiguous,provisional,visible,elapsed_seconds
0,0,0.0,frame_000000,9,0,9,0,0,9,2.519934899988584
3,3,0.10029178294573643,frame_000003,9,8,1,0,0,9,2.5938981000799686
6,6,0.20058356589147286,frame_000006,11,9,2,0,0,11,2.4887514000292867
9,9,0.3008753488372093,frame_000009,10,9,1,0,0,10,2.488909300067462
12,12,0.4011671317829457,frame_000012,13,13,0,0,0,13,2.7738257000455633
15,15,0.5014589147286822,frame_000015,11,11,0,0,0,11,2.6105445999419317
18,18,0.6017506976744186,frame_000018,7,7,0,0,0,7,2.4348770999349654
21,21,0.7020424806201551,frame_000021,7,6,1,0,0,7,2.302021300070919
24,24,0.8023342635658914,frame_000024,9,6,0,3,0,6,2.5286065000109375
27,27,0.9026260465116279,frame_000027,9,5,0,4,0,5,2.485929499962367
30,30,1.0029178294573644,frame_000030,8,8,0,0,0,8,2.4220016999170184
33,33,1.1032096124031008,frame_000033,8,4,0,4,0,4,2.4461349999764934
36,36,1.2035013953488372,frame_000036,9,8,0,1,0,8,2.4080632000695914
39,39,1.3037931782945738,frame_000039,5,5,0,0,0,5,2.313319400069304
42,42,1.4040849612403101,frame_000042,8,7,0,0,1,7,2.3587539000436664
45,45,1.5043767441860465,frame_000045,6,5,0,0,1,5,2.2531828000210226
48,48,1.6046685271317829,frame_000048,6,3,1,0,2,4,1.0318498000269756
51,51,1.7049603100775195,frame_000051,5,4,0,0,1,4,0.44594050000887364
54,54,1.8052520930232558,frame_000054,8,4,0,0,4,4,0.4855433999327943
57,57,1.9055438759689922,frame_000057,3,2,1,0,0,3,0.4190381000516936
60,60,2.005835658914729,frame_000060,2,2,0,0,0,2,0.4279950000345707
63,63,2.106127441860465,frame_000063,3,3,0,0,0,3,0.4565944999922067
66,66,2.2064192248062016,frame_000066,4,3,1,0,0,4,0.43715210002847016
69,69,2.306711007751938,frame_000069,4,3,1,0,0,4,0.449428099906072
72,72,2.4070027906976743,frame_000072,3,3,0,0,0,3,0.4402245000237599
75,75,2.507294573643411,frame_000075,2,2,0,0,0,2,0.40795290004462004
78,78,2.6075863565891475,frame_000078,2,1,1,0,0,2,0.41495330003090203
81,81,2.7078781395348837,frame_000081,3,2,1,0,0,3,0.42554119997657835
84,84,2.8081699224806203,frame_000084,3,3,0,0,0,3,0.4837129999650642
87,87,2.9084617054263564,frame_000087,3,1,0,2,0,1,0.5037673000479117
90,90,3.008753488372093,frame_000090,1,0,0,1,0,0,0.4634804999222979
93,93,3.1090452713178296,frame_000093,1,0,0,1,0,0,0.43488499999511987
96,96,3.2093370542635657,frame_000096,1,0,0,1,0,0,0.45926649996545166
99,99,3.3096288372093023,frame_000099,5,0,3,2,0,3,0.5111850000685081
102,102,3.409920620155039,frame_000102,4,2,1,1,0,3,0.5027763999532908
105,105,3.510212403100775,frame_000105,3,1,1,1,0,2,0.5067022000439465
108,108,3.6105041860465117,frame_000108,5,2,1,2,0,3,0.5376807000720873
111,111,3.710795968992248,frame_000111,4,2,1,1,0,3,0.4890691000036895
114,114,3.8110877519379844,frame_000114,7,4,2,1,0,6,0.5233418999705464
117,117,3.911379534883721,frame_000117,5,5,0,0,0,5,0.5172855999553576
120,120,4.011671317829458,frame_000120,6,5,0,0,1,5,0.5252828999655321
123,123,4.111963100775194,frame_000123,6,4,0,2,0,4,0.5132548999972641
126,126,4.21225488372093,frame_000126,5,3,0,2,0,3,0.49148239998612553
129,129,4.312546666666667,frame_000129,5,4,0,1,0,4,0.6656097999075428
132,132,4.412838449612403,frame_000132,6,5,0,1,0,5,0.5430935999611393
135,135,4.513130232558139,frame_000135,5,5,0,0,0,5,0.5200503000523895
138,138,4.613422015503876,frame_000138,5,5,0,0,0,5,0.47671850002370775
141,141,4.7137137984496125,frame_000141,4,4,0,0,0,4,0.46792800002731383
144,144,4.814005581395349,frame_000144,3,3,0,0,0,3,0.46349950006697327
147,147,4.914297364341086,frame_000147,4,4,0,0,0,4,0.46724080003332347
150,150,5.014589147286822,frame_000150,4,3,0,1,0,3,0.4853867000201717
153,153,5.114880930232558,frame_000153,5,4,0,1,0,4,0.5208487000782043
156,156,5.215172713178295,frame_000156,3,3,0,0,0,3,0.48329309991095215
159,159,5.315464496124031,frame_000159,5,5,0,0,0,5,0.49011520005296916
162,162,5.415756279069767,frame_000162,3,3,0,0,0,3,0.4865986000513658
165,165,5.5160480620155035,frame_000165,4,4,0,0,0,4,0.47898789995815605
168,168,5.6163398449612405,frame_000168,5,4,0,1,0,4,0.5336827000137419
171,171,5.716631627906977,frame_000171,4,3,0,1,0,3,0.48770860000513494
173,173,5.783492816537468,frame_000173,4,3,0,1,0,3,0.5014268000377342
176,176,5.883784599483204,frame_000176,4,3,0,1,0,3,0.5354009999427944
179,179,5.984076382428941,frame_000179,4,3,0,1,0,3,0.504791299928911
182,182,6.084368165374677,frame_000182,4,3,0,1,0,3,0.5061557000735775
185,185,6.184659948320413,frame_000185,4,3,0,1,0,3,0.5060940999537706
188,188,6.28495173126615,frame_000188,5,4,0,1,0,4,0.517018900020048
191,191,6.385243514211886,frame_000191,3,3,0,0,0,3,0.48562200006563216
194,194,6.485535297157623,frame_000194,4,3,0,1,0,3,0.5171760000521317
197,197,6.58582708010336,frame_000197,4,4,0,0,0,4,0.48258569999597967
200,200,6.686118863049096,frame_000200,3,3,0,0,0,3,0.49409860000014305
203,203,6.786410645994832,frame_000203,5,4,0,1,0,4,0.5214362000115216
206,206,6.886702428940568,frame_000206,5,2,0,3,0,2,0.5576760999392718
209,209,6.986994211886305,frame_000209,8,4,0,4,0,4,0.5908321000169963
212,212,7.087285994832041,frame_000212,6,4,0,2,0,4,0.5517263000365347
